Date,Brand,ORDER ID,Market,Coupon Code,Affiliate Orders,Affiliate Revenue,Affiliate Cost,New Customers,New Cust. Revenue,Old Customers,Old Cust. Revenue,CIR,Affiliate ROI
"Aug 28, 2025",bbw,BWSAHDAC149259,ksa,vwjd,1,549.9370917952876,3,0,0,1,549.9370917952876,0.005455169408934396,183.31236393176255
"Aug 28, 2025",bbw,BWSAHDAC149205,ksa,vwjd,1,684.1273874898445,3,0,0,1,684.1273874898445,0.0043851482265713755,228.04246249661483
"Aug 28, 2025",bbw,BWSAHDAC148272,ksa,vq7z,1,21.99801624695366,5,1,21.99801624695366,0,0,0.22729322243738284,4.399603249390732
"Aug 28, 2025",bbw,BWSAHDAC145035,ksa,vzvz,1,60.49521039805027,3,0,0,1,60.49521039805027,0.049590702805402405,20.16507013268342
"Aug 28, 2025",bbw,BWSAHDAC143375,ksa,vgt9,1,27.49419171405357,5,1,27.49419171405357,0,0,0.18185659182132877,5.498838342810714
"Aug 28, 2025",bbw,BWSAHDAC143348,ksa,vv0t,1,38.491868399675006,3,0,0,1,38.491868399675006,0.07793853935199803,12.83062279989167
"Aug 28, 2025",bbw,BWSAHDAC140552,ksa,vv0t,1,43.99336961819651,3,0,0,1,43.99336961819651,0.06819209408226692,14.664456539398836
"Aug 28, 2025",bbw,BWSAHDAC106108,ksa,vv0t,1,78.08616734362295,5,1,78.08616734362295,0,0,0.06403182753223365,15.617233468724589
"Aug 28, 2025",bbw,BWKWHDE2159616,kwt,vzvz,1,24.912800000000004,3,0,0,1,24.912800000000004,0.1204200250473652,8.304266666666669
"Aug 28, 2025",bbw,BWKWHDA2134089,kwt,viyq,1,48.268550000000005,3,0,0,1,48.268550000000005,0.06215227099218849,16.08951666666667
"Aug 28, 2025",bbw,BWJOHDE0328101,jor,v9w0,1,50.33622496804433,0,1,50.33622496804433,0,0,0,-
"Aug 28, 2025",bbw,BWJOHDA0187644,jor,v9w0,1,88.08839369407757,0,1,88.08839369407757,0,0,0,-
"Aug 28, 2025",bbw,BWBHHDA0239996,bah,vv0t,1,40.020242718446596,0,0,0,1,40.020242718446596,0,-
"Aug 28, 2025",bbw,BWAEHDAB075306,uae,vv0t,1,48.03341250726688,0,0,0,1,48.03341250726688,0,-
"Aug 28, 2025",aeo,AEKWHDA0856577,kwt,van1,1,171.89831999999998,2,0,0,1,171.89831999999998,0.01163478502873094,85.94915999999999
"Aug 28, 2025",aeo,AEBHHDE0272090,bah,v8m6,1,77.60055016181228,4,1,77.60055016181228,0,0,0.05154602630598907,19.40013754045307
"Aug 27, 2025",wes,WESAHDE0463938,ksa,vax5,1,2592.975223395609,0,0,0,1,2592.975223395609,0,-
"Aug 27, 2025",wes,WESAHDE0463914,ksa,vax5,1,692.8163509341987,0,0,0,1,692.8163509341987,0,-
"Aug 27, 2025",wes,WEKWHDE0285120,kwt,vqan,1,61.659180000000006,0,0,0,1,61.659180000000006,0,-
"Aug 27, 2025",wes,WEAESSE1050879,uae,vj33,1,18.226235362511435,0,0,0,1,18.226235362511435,0,-
"Aug 27, 2025",wes,WEAESSE1050861,uae,vj33,1,41.86997757661328,0,0,0,1,41.86997757661328,0,-
"Aug 27, 2025",vs,VSSASSA0716641,ksa,vdzm,1,22.924696994313532,5,1,22.924696994313532,0,0,0.21810539093451264,4.584939398862707
"Aug 27, 2025",pk,PKSAHDA0305321,ksa,vmzc,1,34.75585377741668,4.502922826969936,1,34.75585377741668,0,0,0.12955868832362855,7.718509757539918
"Aug 27, 2025",pk,PKKWHDE0185294,kwt,vq22,1,108.37067999999998,11.492668,1,108.37067999999998,0,0,0.10604960677555961,9.429549343981744
"Aug 27, 2025",pk,PKKWHDE0185249,kwt,vq22,1,171.2755,0,0,0,1,171.2755,0,-
"Aug 27, 2025",pk,PKAEHDE0605042,uae,vc55,1,603.458538327382,63.36305124159129,1,603.458538327382,0,0,0.10499984210550059,9.523823845327604
"Aug 27, 2025",pb,PBKWHDE0271013,kwt,vbbs,1,146.3627,15.29187,1,146.3627,0,0,0.10447928331466966,9.571275455519828
"Aug 27, 2025",nb,NBSAHDA0084164,ksa,v2ih,1,98.98974167343607,3.415138099106412,1,98.98974167343607,0,0,0.03449991929843439,28.985575048732944
"Aug 27, 2025",nb,NBSAHDA0084071,ksa,vxmx,1,130.2492396425668,4.493602761982121,1,130.2492396425668,0,0,0.03450003066669392,28.985481481481482
"Aug 27, 2025",mc,MCKWHDA0928493,kwt,vaak9,1,59.004,4,1,59.004,0,0,0.06779201410073893,14.751
"Aug 27, 2025",hm,HMSASSA4711057,ksa,v5ng,1,17.67084321689681,2,0,0,1,17.67084321689681,0.11318079026854846,8.835421608448405
"Aug 27, 2025",hm,HMSASSA4710931,ksa,vgvq,1,23.017897644191677,8,1,23.017897644191677,0,0,0.34755563360577874,2.8772372055239597
"Aug 27, 2025",hm,HMSASSA4710859,ksa,v5ng,1,74.01995613322491,2,0,0,1,74.01995613322491,0.02701974041163031,37.009978066612454
"Aug 27, 2025",hm,HMSASSA4709998,ksa,vgvq,1,27.880308692120185,2,0,0,1,27.880308692120185,0.0717352172131889,13.940154346060092
"Aug 27, 2025",hm,HMSAHDE3133600,ksa,vgvq,1,68.96049228269689,8,1,68.96049228269689,0,0,0.11600845259637607,8.620061535337111
"Aug 27, 2025",hm,HMSAHDE3133288,ksa,v5ng,1,45.700272948822025,2,0,0,1,45.700272948822025,0.0437634147664659,22.850136474411013
"Aug 27, 2025",hm,HMSAHDA4712335,ksa,v5ng,1,160.19860276198185,8,1,160.19860276198185,0,0,0.04993801357859627,20.02482534524773
"Aug 27, 2025",hm,HMSAHDA4711531,ksa,v288,1,32.83325751421603,2,0,0,1,32.83325751421603,0.060913846246722456,16.416628757108015
"Aug 27, 2025",hm,HMSAHDA4710448,ksa,vgvq,1,20.458874086108825,8,1,20.458874086108825,0,0,0.39102836091218934,2.557359260763603
"Aug 27, 2025",hm,HMSAHDA4710430,ksa,vgvq,1,37.61578229082041,2,0,0,1,37.61578229082041,0.05316917203894151,18.807891145410206
"Aug 27, 2025",hm,HMSAHDA4710286,ksa,vjoa,1,16.334079610073086,2,0,0,1,16.334079610073086,0.12244338510304659,8.167039805036543
"Aug 27, 2025",hm,HMSAHDA4709890,ksa,v49m,1,35.96479935012179,2,0,0,1,35.96479935012179,0.055609930713911446,17.982399675060893
"Aug 27, 2025",hm,HMSAHDA4706285,ksa,vjoa,1,100.47562632006483,2,0,0,1,100.47562632006483,0.0199053250350389,50.23781316003242
"Aug 27, 2025",hm,HMSAHDA4511566,ksa,vb3j,1,44.102547522339485,2,0,0,1,44.102547522339485,0.04534885425806593,22.051273761169742
"Aug 27, 2025",hm,HMKWHDE3487195,kwt,v10s,1,91.82005799999999,2,0,0,1,91.82005799999999,0.021781733137219324,45.910028999999994
"Aug 27, 2025",hm,HMAEHDE7585978,uae,vbog,1,111.76398305788568,2,0,0,1,111.76398305788568,0.017894852574859867,55.88199152894284
"Aug 27, 2025",hm,HMAEHDE7584373,uae,vpga,1,49.69133294576867,2,0,0,1,49.69133294576867,0.04024846751812289,24.845666472884336
"Aug 27, 2025",fl,FLSAHDE1654384,ksa,veh7,1,104.4885800162468,6,1,104.4885800162468,0,0,0.057422543201056685,17.414763336041133
"Aug 27, 2025",fl,FLSAHDA0827584,ksa,v6vl,1,104.4885800162468,6,1,104.4885800162468,0,0,0.057422543201056685,17.414763336041133
"Aug 27, 2025",fl,FLAEHDA0079981,uae,veh7,1,104.6803886720373,6,0,0,1,104.6803886720373,0.05731732635038207,17.446731445339548
"Aug 27, 2025",bbw,BWSASSAC141242,ksa,vzvz,1,21.995353371242857,3,0,0,1,21.995353371242857,0.13639244386599658,7.3317844570809525
"Aug 27, 2025",bbw,BWSASSAC136931,ksa,v9mi,1,16.496515028432142,3,0,0,1,16.496515028432142,0.18185659182132877,5.498838342810714
"Aug 27, 2025",bbw,BWSAHDEC065255,ksa,v4uz,1,38.491868399675006,5,1,38.491868399675006,0,0,0.12989756558666338,7.698373679935001
"Aug 27, 2025",bbw,BWSAHDAC142943,ksa,vv0t,1,56.09081397238009,3,0,0,1,56.09081397238009,0.05348469361627097,18.696937990793362
"Aug 27, 2025",bbw,BWSAHDAC140363,ksa,vzvz,1,49.494870836718036,3,0,0,1,49.494870836718036,0.06061234122414224,16.498290278906012
"Aug 27, 2025",bbw,BWSAHDAC136496,ksa,vzvz,1,19.79581803411857,5,1,19.79581803411857,0,0,0.2525785997518455,3.959163606823714
"Aug 27, 2025",bbw,BWSAHDAC135941,ksa,vq7z,1,67.09115353371233,3,0,0,1,67.09115353371233,0.044715284236282266,22.363717844570775
"Aug 27, 2025",bbw,BWKWSSA2132069,kwt,vv54,1,37.36919999999999,5,1,37.36919999999999,0,0,0.13380002783040582,7.473839999999998
"Aug 27, 2025",bbw,BWKWHDE2157788,kwt,vmp2,1,124.56400000000001,3,0,0,1,124.56400000000001,0.02408400500947304,41.52133333333334
"Aug 27, 2025",bbw,BWAEHDEB494348,uae,vhz6,1,117.0018138028404,0,0,0,1,117.0018138028404,0,-
"Aug 27, 2025",bbw,BWAEHDEB494345,uae,vv0t,1,64.0409201893531,0,0,0,1,64.0409201893531,0,-
"Aug 27, 2025",bbw,BWAEHDEB353392,uae,vhz6,1,289.4200946765221,0,0,0,1,289.4200946765221,0,-
"Aug 27, 2025",aeo,AESAHDA2442944,ksa,vtev,1,53.89660438667741,2,0,0,1,53.89660438667741,0.0371080891414075,26.948302193338705
"Aug 26, 2025",wes,WESAHDE0463677,ksa,vj33,1,596.2897692932565,0,0,0,1,596.2897692932565,0,-
"Aug 26, 2025",wes,WESAHDE0463602,ksa,vax5,1,2502.1232298943914,287.7442246953692,1,2502.1232298943914,0,0,0.11500002128492856,8.695650564466947
"Aug 26, 2025",wes,WEKWHDE0284883,kwt,vbsb,1,762.9545,0,0,0,1,762.9545,0,-
"Aug 26, 2025",wes,WEAEHDE1050390,uae,vj33,1,195.8170102150986,0,0,0,1,195.8170102150986,0,-
"Aug 26, 2025",pk,PKSAHDE0304823,ksa,v5op,1,34.75585377741668,0,0,0,1,34.75585377741668,0,-
"Aug 26, 2025",pk,PKSAHDE0304808,ksa,v6f3,1,175.76044841592173,0,0,0,1,175.76044841592173,0,-
"Aug 26, 2025",pk,PKKWHDE0184907,kwt,vq22,1,101.673726,10.1673726,1,101.673726,0,0,0.1,10
"Aug 26, 2025",pk,PKKWHDE0184880,kwt,voie,1,86.88338999999999,9.343939,1,86.88338999999999,0,0,0.10754574608564424,9.298368707244341
"Aug 26, 2025",pb,PBSAHDE0424091,ksa,vdwa,1,41.79649715678304,5.312437043054419,1,41.79649715678304,0,0,0.12710244648318042,7.867669172932332
"Aug 26, 2025",pb,PBSAHDA0267653,ksa,vdwa,1,19.359106417546677,2.73211047928513,1,19.359106417546677,0,0,0.1411279229711142,7.0857699805068215
"Aug 26, 2025",pb,PBSAHDA0267218,ksa,vbbs,1,47.95306580016239,0,0,0,1,47.95306580016239,0,-
"Aug 26, 2025",pb,PBKWHDE0270920,kwt,vuv2,1,37.3692,0,0,0,1,37.3692,0,-
"Aug 26, 2025",nb,NBSAHDA0083885,ksa,vyw8,1,375.11930138099046,12.94157595450851,1,375.11930138099046,0,0,0.03449989351884716,28.985596707818928
"Aug 26, 2025",nb,NBKWHDE0075008,kwt,vr93,1,115.0578,3.4517340000000005,0,0,1,115.0578,0.030000000000000006,33.33333333333333
"Aug 26, 2025",hm,HMSASSE3131181,ksa,v5ng,1,39.26410235580822,2,0,0,1,39.26410235580822,0.050937112527778085,19.63205117790411
"Aug 26, 2025",hm,HMSASSA4709136,ksa,vjoa,1,42.73116653127532,2,0,0,1,42.73116653127532,0.046804245293331326,21.36558326563766
"Aug 26, 2025",hm,HMSAHDE3129632,ksa,v5ng,1,76.27807473598688,2,0,0,1,76.27807473598688,0.02621985422314847,38.13903736799344
"Aug 26, 2025",hm,HMSAHDA4709160,ksa,vgcc,1,156.1270658001622,2,0,0,1,156.1270658001622,0.012810078699358496,78.0635329000811
"Aug 26, 2025",hm,HMSAHDA4708356,ksa,vgvq,1,57.46485783915506,8,1,57.46485783915506,0,0,0.13921551885488193,7.183107229894382
"Aug 26, 2025",hm,HMSAHDA4707510,ksa,v5ng,1,22.107194151096632,2,0,0,1,22.107194151096632,0.0904682876682833,11.053597075548316
"Aug 26, 2025",hm,HMSAHDA4707459,ksa,v5ng,1,80.01675223395601,2,0,0,1,80.01675223395601,0.024994766022898858,40.008376116978006
"Aug 26, 2025",hm,HMSAHDA4707221,ksa,v288,1,231.1402745735171,2,0,0,1,231.1402745735171,0.008652754279583045,115.57013728675855
"Aug 26, 2025",hm,HMKWSSA1335141,kwt,vgvq,1,32.671826,2,0,0,1,32.671826,0.06121482160195148,16.335913
"Aug 26, 2025",hm,HMKWHDE3375055,kwt,vgvq,1,39.657244000000006,2,0,0,1,39.657244000000006,0.05043214803328239,19.828622000000003
"Aug 26, 2025",hm,HMKWHDA1335144,kwt,vm11,1,126.82909800000002,2,0,0,1,126.82909800000002,0.015769251942484047,63.41454900000001
"Aug 26, 2025",hm,HMKWHDA1334903,kwt,vtbo,1,105.05334399999998,2,0,0,1,105.05334399999998,0.01903794704526493,52.52667199999999
"Aug 26, 2025",hm,HMAEHDE7580853,uae,vgvq,1,148.52680342164288,8,1,148.52680342164288,0,0,0.053862332021576816,18.56585042770536
"Aug 26, 2025",hm,HMAEHDE7580130,uae,vbog,1,33.06857071671791,2,0,0,1,33.06857071671791,0.060480388376413695,16.534285358358954
"Aug 26, 2025",hm,HMAEHDE7579470,uae,vgvq,1,123.02913047089123,2,0,0,1,123.02913047089123,0.016256312568779806,61.514565235445616
"Aug 26, 2025",hm,HMAEHDE7578924,uae,vqef,1,263.98231376131577,2,0,0,1,263.98231376131577,0.007576265134975425,131.99115688065788
"Aug 26, 2025",hm,HMAEHDE7578279,uae,vgvq,1,58.68875010381203,2,0,0,1,58.68875010381203,0.03407808134373769,29.344375051906017
"Aug 26, 2025",hm,HMAEHDE7576956,uae,vimb,1,48.89095756166435,2,0,0,1,48.89095756166435,0.04090735996482528,24.445478780832175
"Aug 26, 2025",hm,HMAEHDE7572098,uae,vgvq,1,84.42326883149249,2,0,0,1,84.42326883149249,0.023690151159533615,42.211634415746246
"Aug 26, 2025",fl,FLKWHDE0967744,kwt,vytm,1,180.61780000000002,6,1,180.61780000000002,0,0,0.033219317254445574,30.10296666666667
"Aug 26, 2025",bbw,BWSAHDAC135133,ksa,vzvz,1,124.28439805036535,3,0,0,1,124.28439805036535,0.024138186667519376,41.42813268345512
"Aug 26, 2025",aeo,AESAHDE1900745,ksa,vt44,1,171.91525588952044,4,1,171.91525588952044,0,0,0.02326727770204733,42.97881397238011
